starttime,tripduration,starttime,stoptime,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bikeid,usertype,birth_year,gender,start_date,start_time,end_date,end_time,tripduration_minutes,ride_type,age,start_weekday
2019-12-16 08:00:00.792,1085,2019-12-16 08:00:00.792,2019-12-16 08:18:05.912,515,W 43 St & 10 Ave,40.76009437,-73.99461843,402,Broadway & E 22 St,40.740343200000005,-73.98955109,19469,Subscriber,1989,1,2019-12-16 00:00:00.000,08:00:00.7920,2019-12-16 00:00:00.000,08:18:05.9120,18,journey,30,Monday
2019-12-16 08:00:02.385,283,2019-12-16 08:00:02.385,2019-12-16 08:04:46.349,3144,E 81 St & Park Ave,40.77677702,-73.95900970000001,3150,E 85 St & York Ave,40.77536905,-73.94803392,32030,Subscriber,1973,1,2019-12-16 00:00:00.000,08:00:02.3850,2019-12-16 00:00:00.000,08:04:46.3490,5,journey,46,Monday
2019-12-16 08:00:03.732,896,2019-12-16 08:00:03.732,2019-12-16 08:14:59.814,3319,14 St & 5 Ave,40.666287,-73.98895053,3409,Bergen St & Smith St,40.686744299999994,-73.99063168,33563,Subscriber,1963,1,2019-12-16 00:00:00.000,08:00:03.7320,2019-12-16 00:00:00.000,08:14:59.8140,15,journey,56,Monday
2019-12-16 08:00:05.272,890,2019-12-16 08:00:05.272,2019-12-16 08:14:56.170,3163,Central Park West & W 68 St,40.7734066,-73.97782542,519,Pershing Square North,40.751872999999996,-73.97770600000001,35274,Subscriber,1970,1,2019-12-16 00:00:00.000,08:00:05.2720,2019-12-16 00:00:00.000,08:14:56.1700,15,journey,49,Monday
2019-12-16 08:00:07.528,2046,2019-12-16 08:00:07.528,2019-12-16 08:34:14.385,3711,E 13 St & Avenue A,40.72966729392978,-73.98067966103555,279,Peck Slip & Front St,40.707873,-74.00166999999999,39197,Subscriber,1975,1,2019-12-16 00:00:00.000,08:00:07.5280,2019-12-16 00:00:00.000,08:34:14.3850,34,journey,44,Monday
2019-12-16 08:00:10.157,497,2019-12-16 08:00:10.157,2019-12-16 08:08:27.499,3172,W 74 St & Columbus Ave,40.7785669,-73.97754961,3457,E 58 St & Madison Ave,40.763025942805186,-73.97209525108337,14553,Subscriber,1975,1,2019-12-16 00:00:00.000,08:00:10.1570,2019-12-16 00:00:00.000,08:08:27.4990,8,journey,44,Monday
2019-12-16 08:00:10.553,486,2019-12-16 08:00:10.553,2019-12-16 08:08:16.692,477,W 41 St & 8 Ave,40.75640548,-73.9900262,167,E 39 St & 3 Ave,40.7489006,-73.97604882,31649,Subscriber,1966,1,2019-12-16 00:00:00.000,08:00:10.5530,2019-12-16 00:00:00.000,08:08:16.6920,8,journey,53,Monday
2019-12-16 08:00:13.071,1069,2019-12-16 08:00:13.071,2019-12-16 08:18:02.361,3164,Columbus Ave & W 72 St,40.7770575,-73.97898475,3336,E 97 St & Madison Ave,40.787801,-73.953559,31213,Subscriber,1988,1,2019-12-16 00:00:00.000,08:00:13.0710,2019-12-16 00:00:00.000,08:18:02.3610,18,journey,31,Monday
2019-12-16 08:00:13.434,293,2019-12-16 08:00:13.434,2019-12-16 08:05:07.215,3332,Degraw St & Hoyt St,40.68199044270703,-73.99079024791719,3486,Schermerhorn St & Bond St,40.68841742754083,-73.98451656103134,40629,Subscriber,2003,1,2019-12-16 00:00:00.000,08:00:13.4340,2019-12-16 00:00:00.000,08:05:07.2150,5,journey,16,Monday
2019-12-16 08:00:13.714,624,2019-12-16 08:00:13.714,2019-12-16 08:10:38.103,422,W 59 St & 10 Ave,40.770513,-73.988038,3233,E 48 St & 5 Ave,40.75724567911726,-73.97805914282799,28157,Subscriber,1978,1,2019-12-16 00:00:00.000,08:00:13.7140,2019-12-16 00:00:00.000,08:10:38.1030,10,journey,41,Monday
2019-12-16 08:00:14.640,748,2019-12-16 08:00:14.640,2019-12-16 08:12:43.605,3629,Adam Clayton Powell Blvd & W 126 St,40.809495347779475,-73.94776493310928,3536,W 116 St & Broadway,40.8082,-73.9641,40704,Subscriber,1969,2,2019-12-16 00:00:00.000,08:00:14.6400,2019-12-16 00:00:00.000,08:12:43.6050,12,journey,50,Monday
2019-12-16 08:00:14.891,320,2019-12-16 08:00:14.891,2019-12-16 08:05:35.728,3718,E 11 St & Avenue B,40.727464206923926,-73.97950418293476,504,1 Ave & E 16 St,40.73221853,-73.98165557,39344,Subscriber,2000,2,2019-12-16 00:00:00.000,08:00:14.8910,2019-12-16 00:00:00.000,08:05:35.7280,5,journey,19,Monday
2019-12-16 08:00:15.491,133,2019-12-16 08:00:15.491,2019-12-16 08:02:28.903,3372,E 74 St & 1 Ave,40.7689738,-73.95482273,3725,2 Ave & E 72 St,40.7687620293096,-73.95840793848038,33257,Subscriber,1995,2,2019-12-16 00:00:00.000,08:00:15.4910,2019-12-16 00:00:00.000,08:02:28.9030,2,journey,24,Monday
2019-12-16 08:00:16.114,853,2019-12-16 08:00:16.114,2019-12-16 08:14:29.141,474,5 Ave & E 29 St,40.7451677,-73.98683077,367,E 53 St & Lexington Ave,40.75828065,-73.97069431,14572,Subscriber,1986,1,2019-12-16 00:00:00.000,08:00:16.1140,2019-12-16 00:00:00.000,08:14:29.1410,14,journey,33,Monday
2019-12-16 08:00:16.299,932,2019-12-16 08:00:16.299,2019-12-16 08:15:48.511,3362,Madison Ave & E 82 St,40.7781314,-73.96069399,3443,W 52 St & 6 Ave,40.76132983124814,-73.97982001304626,30862,Subscriber,1965,1,2019-12-16 00:00:00.000,08:00:16.2990,2019-12-16 00:00:00.000,08:15:48.5110,16,journey,54,Monday
2019-12-16 08:00:17.780,1575,2019-12-16 08:00:17.780,2019-12-16 08:26:33.058,3328,W 100 St & Manhattan Ave,40.795,-73.9645,458,11 Ave & W 27 St,40.751396,-74.00522600000001,17357,Subscriber,1974,1,2019-12-16 00:00:00.000,08:00:17.7800,2019-12-16 00:00:00.000,08:26:33.0580,26,journey,45,Monday
2019-12-16 08:00:18.076,325,2019-12-16 08:00:18.076,2019-12-16 08:05:43.847,401,Allen St & Rivington St,40.72019576,-73.98997825,128,MacDougal St & Prince St,40.72710258,-74.00297088,21194,Subscriber,1986,1,2019-12-16 00:00:00.000,08:00:18.0760,2019-12-16 00:00:00.000,08:05:43.8470,5,journey,33,Monday
2019-12-16 08:00:18.675,515,2019-12-16 08:00:18.675,2019-12-16 08:08:54.382,3311,Columbia St & Kane St,40.68763155,-74.0016256,3242,Schermerhorn St & Court St,40.69102925677968,-73.99183362722397,39910,Subscriber,1986,2,2019-12-16 00:00:00.000,08:00:18.6750,2019-12-16 00:00:00.000,08:08:54.3820,9,journey,33,Monday
2019-12-16 08:00:20.137,1794,2019-12-16 08:00:20.137,2019-12-16 08:30:14.787,3697,W 64 St & Thelonious Monk Circle,40.77515953434235,-73.98918695747851,426,West St & Chambers St,40.71754834,-74.01322069,35359,Subscriber,1990,1,2019-12-16 00:00:00.000,08:00:20.1370,2019-12-16 00:00:00.000,08:30:14.7870,30,journey,29,Monday
2019-12-16 08:00:20.923,171,2019-12-16 08:00:20.923,2019-12-16 08:03:12.079,164,E 47 St & 2 Ave,40.75323098,-73.97032517,2017,E 43 St & 2 Ave,40.75022392,-73.97121414,28300,Subscriber,1969,0,2019-12-16 00:00:00.000,08:00:20.9230,2019-12-16 00:00:00.000,08:03:12.0790,3,journey,50,Monday
2019-12-16 08:00:21.378,439,2019-12-16 08:00:21.378,2019-12-16 08:07:41.189,3711,E 13 St & Avenue A,40.72966729392978,-73.98067966103555,497,E 17 St & Broadway,40.73704984,-73.99009296,35325,Subscriber,1990,2,2019-12-16 00:00:00.000,08:00:21.3780,2019-12-16 00:00:00.000,08:07:41.1890,7,journey,29,Monday
2019-12-16 08:00:22.022,1593,2019-12-16 08:00:22.022,2019-12-16 08:26:55.299,461,E 20 St & 2 Ave,40.73587678,-73.98205027,195,Liberty St & Broadway,40.70905623,-74.01043382,32983,Subscriber,1966,1,2019-12-16 00:00:00.000,08:00:22.0220,2019-12-16 00:00:00.000,08:26:55.2990,27,journey,53,Monday
2019-12-16 08:00:22.733,659,2019-12-16 08:00:22.733,2019-12-16 08:11:22.076,403,E 2 St & 2 Ave,40.72502876,-73.99069656,223,W 13 St & 7 Ave,40.73781509,-73.99994661,33198,Subscriber,1991,2,2019-12-16 00:00:00.000,08:00:22.7330,2019-12-16 00:00:00.000,08:11:22.0760,11,journey,28,Monday
2019-12-16 08:00:24.729,923,2019-12-16 08:00:24.729,2019-12-16 08:15:47.888,3143,5 Ave & E 78 St,40.77632142182271,-73.96427392959596,367,E 53 St & Lexington Ave,40.75828065,-73.97069431,41022,Subscriber,1986,1,2019-12-16 00:00:00.000,08:00:24.7290,2019-12-16 00:00:00.000,08:15:47.8880,15,journey,33,Monday
2019-12-16 08:00:24.810,625,2019-12-16 08:00:24.810,2019-12-16 08:10:49.923,410,Suffolk St & Stanton St,40.72066442,-73.98517977,279,Peck Slip & Front St,40.707873,-74.00166999999999,34380,Subscriber,1991,1,2019-12-16 00:00:00.000,08:00:24.8100,2019-12-16 00:00:00.000,08:10:49.9230,10,journey,28,Monday
2019-12-16 08:00:25.287,518,2019-12-16 08:00:25.287,2019-12-16 08:09:03.490,3369,E 82 St & East End Ave,40.7724607,-73.9468208,3376,E 65 St & 2 Ave,40.76471851944339,-73.96222069859505,41726,Subscriber,1980,2,2019-12-16 00:00:00.000,08:00:25.2870,2019-12-16 00:00:00.000,08:09:03.4900,9,journey,39,Monday
2019-12-16 08:00:25.609,212,2019-12-16 08:00:25.609,2019-12-16 08:03:57.618,3412,Pacific St & Nevins St,40.6853761,-73.98302136,467,Dean St & 4 Ave,40.68312489,-73.97895137,39471,Subscriber,1977,1,2019-12-16 00:00:00.000,08:00:25.6090,2019-12-16 00:00:00.000,08:03:57.6180,4,journey,42,Monday
2019-12-16 08:00:26.711,960,2019-12-16 08:00:26.711,2019-12-16 08:16:27.082,358,Christopher St & Greenwich St,40.73291553,-74.00711384,525,W 34 St & 11 Ave,40.75594159,-74.0021163,18143,Subscriber,1978,2,2019-12-16 00:00:00.000,08:00:26.7110,2019-12-16 00:00:00.000,08:16:27.0820,16,journey,41,Monday
2019-12-16 08:00:27.327,323,2019-12-16 08:00:27.327,2019-12-16 08:05:50.970,284,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,496,E 16 St & 5 Ave,40.73726186,-73.99238967,40953,Subscriber,1993,1,2019-12-16 00:00:00.000,08:00:27.3270,2019-12-16 00:00:00.000,08:05:50.9700,5,journey,26,Monday
