starttime,tripduration,starttime,stoptime,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bikeid,usertype,birth_year,gender,start_date,start_time,end_date,end_time,tripduration_minutes,ride_type,age,start_weekday
2019-12-15 16:00:00.048,690,2019-12-15 16:00:00.048,2019-12-15 16:11:30.365,3724,7 Ave & Central Park South,40.7667405590595,-73.9790689945221,3168,Central Park West & W 85 St,40.78472675,-73.96961715,14814,Subscriber,1992,2,2019-12-15 00:00:00.000,16:00:00.0480,2019-12-15 00:00:00.000,16:11:30.3650,12,journey,27,Sunday
2019-12-15 16:00:00.246,1082,2019-12-15 16:00:00.246,2019-12-15 16:18:02.337,442,W 27 St & 7 Ave,40.746646999999996,-73.993915,328,Watts St & Greenwich St,40.72405549,-74.00965965,16631,Subscriber,1998,2,2019-12-15 00:00:00.000,16:00:00.2460,2019-12-15 00:00:00.000,16:18:02.3370,18,journey,21,Sunday
2019-12-15 16:00:02.043,738,2019-12-15 16:00:02.043,2019-12-15 16:12:20.662,174,E 25 St & 1 Ave,40.7381765,-73.97738662,3656,E 2 St & Avenue A,40.72307749068673,-73.98583620786667,39110,Subscriber,1991,1,2019-12-15 00:00:00.000,16:00:02.0430,2019-12-15 00:00:00.000,16:12:20.6620,12,journey,28,Sunday
2019-12-15 16:00:02.642,340,2019-12-15 16:00:02.642,2019-12-15 16:05:43.417,486,Broadway & W 29 St,40.7462009,-73.98855723,536,1 Ave & E 30 St,40.74144387,-73.97536082,39189,Subscriber,1990,1,2019-12-15 00:00:00.000,16:00:02.6420,2019-12-15 00:00:00.000,16:05:43.4170,6,journey,29,Sunday
2019-12-15 16:00:02.875,935,2019-12-15 16:00:02.875,2019-12-15 16:15:38.862,504,1 Ave & E 16 St,40.73221853,-73.98165557,504,1 Ave & E 16 St,40.73221853,-73.98165557,28922,Subscriber,1990,1,2019-12-15 00:00:00.000,16:00:02.8750,2019-12-15 00:00:00.000,16:15:38.8620,16,joy_ride,29,Sunday
2019-12-15 16:00:04.176,433,2019-12-15 16:00:04.176,2019-12-15 16:07:17.742,499,Broadway & W 60 St,40.76915505,-73.98191841,3167,Amsterdam Ave & W 73 St,40.779668090073116,-73.98093044757842,15043,Subscriber,1961,1,2019-12-15 00:00:00.000,16:00:04.1760,2019-12-15 00:00:00.000,16:07:17.7420,7,journey,58,Sunday
2019-12-15 16:00:05.733,420,2019-12-15 16:00:05.733,2019-12-15 16:07:06.484,3712,W 35 St & Dyer Ave,40.754691750226016,-73.9974018931389,495,W 47 St & 10 Ave,40.76269882,-73.99301222,38822,Subscriber,1985,2,2019-12-15 00:00:00.000,16:00:05.7330,2019-12-15 00:00:00.000,16:07:06.4840,7,journey,34,Sunday
2019-12-15 16:00:05.916,1489,2019-12-15 16:00:05.916,2019-12-15 16:24:55.716,3668,Leonard St & Nassau Ave,40.7239567849954,-73.94984364509583,3674,Jay St & York St,40.70140317257725,-73.98672670125961,38566,Subscriber,1982,2,2019-12-15 00:00:00.000,16:00:05.9160,2019-12-15 00:00:00.000,16:24:55.7160,25,journey,37,Sunday
2019-12-15 16:00:07.461,253,2019-12-15 16:00:07.461,2019-12-15 16:04:21.058,362,Broadway & W 37 St,40.75172632,-73.98753523,493,W 45 St & 6 Ave,40.7568001,-73.98291153,38291,Subscriber,1964,1,2019-12-15 00:00:00.000,16:00:07.4610,2019-12-15 00:00:00.000,16:04:21.0580,4,journey,55,Sunday
2019-12-15 16:00:07.483,559,2019-12-15 16:00:07.483,2019-12-15 16:09:27.097,493,W 45 St & 6 Ave,40.7568001,-73.98291153,3134,3 Ave & E 62 St,40.76312584,-73.96526895,39482,Subscriber,1973,2,2019-12-15 00:00:00.000,16:00:07.4830,2019-12-15 00:00:00.000,16:09:27.0970,9,journey,46,Sunday
