starttime,tripduration,starttime,stoptime,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bikeid,usertype,birth_year,gender,start_date,start_time,end_date,end_time,tripduration_minutes,ride_type,age,start_weekday
2019-12-16 04:01:31.191,193,2019-12-16 04:01:31.191,2019-12-16 04:04:45.077,387,Centre St & Chambers St,40.71273266,-74.0046073,3690,Park Pl & Church St,40.71334184275907,-74.00935515761375,28207,Customer,1989,1,2019-12-16 00:00:00.000,04:01:31.1910,2019-12-16 00:00:00.000,04:04:45.0770,3,journey,30,Monday
2019-12-16 04:01:52.027,214,2019-12-16 04:01:52.027,2019-12-16 04:05:27.019,327,Vesey Pl & River Terrace,40.715337899999994,-74.01658354,195,Liberty St & Broadway,40.70905623,-74.01043382,40993,Subscriber,1975,1,2019-12-16 00:00:00.000,04:01:52.0270,2019-12-16 00:00:00.000,04:05:27.0190,4,journey,44,Monday
2019-12-16 04:04:33.742,761,2019-12-16 04:04:33.742,2019-12-16 04:17:15.592,2003,1 Ave & E 18 St,40.73381219196632,-73.9805442094803,311,Norfolk St & Broome St,40.7172274,-73.98802084,32138,Subscriber,1995,1,2019-12-16 00:00:00.000,04:04:33.7420,2019-12-16 00:00:00.000,04:17:15.5920,13,journey,24,Monday
2019-12-16 04:04:41.001,150,2019-12-16 04:04:41.001,2019-12-16 04:07:11.228,173,Broadway & W 49 St,40.76068327096592,-73.98452728986742,447,8 Ave & W 52 St,40.76370739,-73.9851615,17568,Subscriber,1966,1,2019-12-16 00:00:00.000,04:04:41.0010,2019-12-16 00:00:00.000,04:07:11.2280,2,journey,53,Monday
2019-12-16 04:05:50.663,268,2019-12-16 04:05:50.663,2019-12-16 04:10:18.959,336,Sullivan St & Washington Sq,40.73047747,-73.99906065,284,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,29777,Subscriber,1995,1,2019-12-16 00:00:00.000,04:05:50.6630,2019-12-16 00:00:00.000,04:10:18.9590,4,journey,24,Monday
2019-12-16 04:09:35.041,530,2019-12-16 04:09:35.041,2019-12-16 04:18:25.728,523,W 38 St & 8 Ave,40.75466591,-73.99138152,3686,Gansevoort St & Hudson St,40.73944820130404,-74.00507032871245,17359,Subscriber,1977,1,2019-12-16 00:00:00.000,04:09:35.0410,2019-12-16 00:00:00.000,04:18:25.7280,9,journey,42,Monday
2019-12-16 04:09:49.064,1656,2019-12-16 04:09:49.064,2019-12-16 04:37:25.482,3526,31 St & 23 Ave,40.7747878,-73.91255509999999,3118,McGuinness Blvd & Eagle St,40.73555,-73.95284000000001,30895,Subscriber,1992,1,2019-12-16 00:00:00.000,04:09:49.0640,2019-12-16 00:00:00.000,04:37:25.4820,28,journey,27,Monday
2019-12-16 04:11:39.726,972,2019-12-16 04:11:39.726,2019-12-16 04:27:51.920,3718,E 11 St & Avenue B,40.727464206923926,-73.97950418293476,532,S 5 Pl & S 5 St,40.710451,-73.960876,38355,Subscriber,1965,1,2019-12-16 00:00:00.000,04:11:39.7260,2019-12-16 00:00:00.000,04:27:51.9200,16,journey,54,Monday
2019-12-16 04:12:09.410,753,2019-12-16 04:12:09.410,2019-12-16 04:24:42.710,3049,Cambridge Pl & Gates Ave,40.68488,-73.96304,3052,Lewis Ave & Madison St,40.686312,-73.935775,41979,Subscriber,1966,2,2019-12-16 00:00:00.000,04:12:09.4100,2019-12-16 00:00:00.000,04:24:42.7100,13,journey,53,Monday
2019-12-16 04:14:58.204,326,2019-12-16 04:14:58.204,2019-12-16 04:20:24.656,3092,Berry St & N 8 St,40.7190095,-73.95852515,460,S 4 St & Wythe Ave,40.71285887,-73.96590294,28724,Subscriber,1988,2,2019-12-16 00:00:00.000,04:14:58.2040,2019-12-16 00:00:00.000,04:20:24.6560,5,journey,31,Monday
2019-12-16 04:15:46.703,993,2019-12-16 04:15:46.703,2019-12-16 04:32:20.326,500,Broadway & W 51 St,40.76228826,-73.98336183,173,Broadway & W 49 St,40.76068327096592,-73.98452728986742,40238,Subscriber,1980,1,2019-12-16 00:00:00.000,04:15:46.7030,2019-12-16 00:00:00.000,04:32:20.3260,17,journey,39,Monday
2019-12-16 04:16:42.177,2503,2019-12-16 04:16:42.177,2019-12-16 04:58:25.367,312,Allen St & Stanton St,40.722055,-73.989111,3865,Knickerbocker Ave & Cooper St,40.69081,-73.90448,28496,Subscriber,1994,1,2019-12-16 00:00:00.000,04:16:42.1770,2019-12-16 00:00:00.000,04:58:25.3670,42,journey,25,Monday
2019-12-16 04:16:44.335,407,2019-12-16 04:16:44.335,2019-12-16 04:23:32.123,3002,South End Ave & Liberty St,40.711512,-74.01575600000001,79,Franklin St & W Broadway,40.71911552,-74.00666661,25408,Subscriber,1945,1,2019-12-16 00:00:00.000,04:16:44.3350,2019-12-16 00:00:00.000,04:23:32.1230,7,journey,74,Monday
