starttime,tripduration,starttime,stoptime,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bikeid,usertype,birth_year,gender,start_date,start_time,end_date,end_time,tripduration_minutes,ride_type,age,start_weekday
2019-12-15 08:00:08.263,550,2019-12-15 08:00:08.263,2019-12-15 08:09:19.209,3335,Union St & 4 Ave,40.6772744,-73.98282002,3486,Schermerhorn St & Bond St,40.68841742754083,-73.98451656103134,33848,Subscriber,1987,1,2019-12-15 00:00:00.000,08:00:08.2630,2019-12-15 00:00:00.000,08:09:19.2090,9,journey,32,Sunday
2019-12-15 08:00:18.850,1213,2019-12-15 08:00:18.850,2019-12-15 08:20:31.924,3323,W 106 St & Central Park West,40.798185600000004,-73.96059090060001,500,Broadway & W 51 St,40.76228826,-73.98336183,35083,Subscriber,1961,1,2019-12-15 00:00:00.000,08:00:18.8500,2019-12-15 00:00:00.000,08:20:31.9240,20,journey,58,Sunday
2019-12-15 08:00:21.255,2238,2019-12-15 08:00:21.255,2019-12-15 08:37:39.538,3656,E 2 St & Avenue A,40.72307749068673,-73.98583620786667,489,10 Ave & W 28 St,40.75066386,-74.00176802,17766,Subscriber,1950,2,2019-12-15 00:00:00.000,08:00:21.2550,2019-12-15 00:00:00.000,08:37:39.5380,37,journey,69,Sunday
2019-12-15 08:00:26.997,364,2019-12-15 08:00:26.997,2019-12-15 08:06:31.251,435,W 21 St & 6 Ave,40.74173969,-73.99415556,489,10 Ave & W 28 St,40.75066386,-74.00176802,41989,Subscriber,1995,1,2019-12-15 00:00:00.000,08:00:26.9970,2019-12-15 00:00:00.000,08:06:31.2510,6,journey,24,Sunday
2019-12-15 08:00:33.802,279,2019-12-15 08:00:33.802,2019-12-15 08:05:13.517,3908,Battery Pl & Greenwich St,40.70463,-74.01507,3690,Park Pl & Church St,40.71334184275907,-74.00935515761375,32827,Subscriber,1974,1,2019-12-15 00:00:00.000,08:00:33.8020,2019-12-15 00:00:00.000,08:05:13.5170,5,journey,45,Sunday
2019-12-15 08:00:34.100,237,2019-12-15 08:00:34.100,2019-12-15 08:04:31.719,3308,Kane St & Clinton St,40.686175799999994,-73.99645295,3242,Schermerhorn St & Court St,40.69102925677968,-73.99183362722397,40780,Subscriber,1975,1,2019-12-15 00:00:00.000,08:00:34.1000,2019-12-15 00:00:00.000,08:04:31.7190,4,journey,44,Sunday
2019-12-15 08:00:35.318,208,2019-12-15 08:00:35.318,2019-12-15 08:04:03.446,518,E 39 St & 2 Ave,40.74780373,-73.97344190000001,476,E 31 St & 3 Ave,40.74394314,-73.97966069,40047,Subscriber,1978,1,2019-12-15 00:00:00.000,08:00:35.3180,2019-12-15 00:00:00.000,08:04:03.4460,3,journey,41,Sunday
2019-12-15 08:00:37.903,428,2019-12-15 08:00:37.903,2019-12-15 08:07:46.152,3119,Vernon Blvd & 50 Ave,40.74232744,-73.95411749,3119,Vernon Blvd & 50 Ave,40.74232744,-73.95411749,20547,Subscriber,1983,1,2019-12-15 00:00:00.000,08:00:37.9030,2019-12-15 00:00:00.000,08:07:46.1520,7,joy_ride,36,Sunday
2019-12-15 08:00:53.195,610,2019-12-15 08:00:53.195,2019-12-15 08:11:03.620,477,W 41 St & 8 Ave,40.75640548,-73.9900262,3814,E 56 St & Madison Ave,40.761573,-73.972628,31263,Subscriber,1964,1,2019-12-15 00:00:00.000,08:00:53.1950,2019-12-15 00:00:00.000,08:11:03.6200,10,journey,55,Sunday
2019-12-15 08:01:08.358,738,2019-12-15 08:01:08.358,2019-12-15 08:13:26.478,3295,Central Park W & W 96 St,40.791270000000004,-73.964839,3810,Central Park West & W 82 St,40.782593,-73.971211,35368,Subscriber,1969,2,2019-12-15 00:00:00.000,08:01:08.3580,2019-12-15 00:00:00.000,08:13:26.4780,12,journey,50,Sunday
